商品ID,商品名,ブランド,カテゴリ,価格,定価,在庫,販売開始日,初回検出日,キャッチコピー,詳細,商品情報,掲載中,URL
8438633,韓国ナチュラルマッコリ OLKE（オルケ）12度 750ml（カンソング酒造）別格プレミアム生マッコリ,,梅酒・果実酒,8800,8800,True,2026-07-05,2026-07-09,振らずに一杯、振ってもう一杯。一本で、二つの表情。,ソウル・望遠洞（マンウォンドン）で10年間、無甘味料マッコリだけを紹介し続けた伝説の店「福徳房（ポクトクバン）」。その店主カン・ソングが全国の蔵を巡り抜いた末に、自ら醸造家として立ち上げたのが「カンソング酒造」です。 その第一号作品がこの「OLKE（オルケ）」。 ラベルに描かれているのは、韓国の国宝・河回仮面（ハフェタル）。 見る角度によって喜びにも悲しみにも見える、800年の歴史を持つ伝統仮面です。 一本の酒に二つの顔を宿すこの酒に、これ以上ないモチーフと言えるでしょう。  まず振らずに上澄みを一杯。 土壌を思わせる深い香り、爽やかな果実のニュアンス、鋭くも滑らかな喉越し。 次に瓶を優しく振ってもう一杯。 重厚な麹の風味とタンニンのようなドライ感が加わり、まるで別の酒に変わります。 温度が上がるほどに複雑さが増す、時間とともに育つ一本です。 4〜8℃に十分冷やしてからお楽しみください。  刺身・熟成魚、牡蠣や貝類、茹で肉（スユク）、季節の野菜料理、チーズ、淡白な和食や発酵食。  「物語を知って飲めば、酒はもっとおいしくなる」。 10年間その信念で店を営み、やがて理想の一杯を自ら醸すために設立した醸造場です。 韓国産もち米とうるち米を伝統製法の天然麹のみで仕込み、人工甘味料・香料・添加物は一切不使用。 すべて小規模バッチ、100%手作業で醸しています。,【商品情報】 ・品目: その他の醸造酒 ・品名: OLKE（オルケ）生マッコリ ・原材料名: もち米（韓国産）、うるち米（韓国産）、麹（小麦） ・内容量: 750ml ・アルコール分: 12% ・賞味期限: ラベル枠内に記載 (製造日より150日) ・保存方法: 10℃以下で冷蔵保管してください。 ・原産国名: 韓国 【ご注意】 ※本製品は小麦を含みます。アレルギーをお持ちの方はご注意ください ※開栓後はお早めにお召し上がりください ※原料由来の成分が沈殿することがありますが、品質には問題ありません ※必ず立てた状態で冷蔵保管し、直射日光と高温を避けてください,True,https://mall.line.me/sb/d84e5e64/8438633
8438632,韓国プレミアム生マッコリ 本〈BON〉17度 375ml（ドゥルミ酒造）,DOORUMI,梅酒・果実酒,7700,7700,True,2026-07-05,2026-07-09,水を一滴も加えない、17%の純粋。,すべての濁酒（ダクシュ）の「本」になる。 そんな志で醸された、加水なしの原酒そのままの生マッコリです。 一般的なマッコリが水で割って度数を調整するのに対し、「本」は米と麹と酵母だけが生み出す17%をそのまま瓶に閉じ込めました。 自然が与える最適温度15℃でひと季節かけて低温発酵し、さらに1℃でひと季節低温熟成。 まるでキムチ甕が地中で最高の味を引き出すように、時間と温度だけが磨き上げた濃密な一本です。  ① 「15℃低温発酵」 最高級ワインが洞窟で熟成される理由と同じ、自然が保つ最適温度でひと季節かけて発酵。 ② 「1℃低温熟成」 キムチ甕を地中に埋めた先人の知恵そのままに、1℃でひと季節じっくり寝かせて完成。 ③ 全国最高等級の鉄原五台米（チョロン・オデミ）のみ使用。 ④ 純度に最も近い鉄原の火山岩盤水のみ使用。  自然の素材だけが生み出す時間（熟成）の香り。 甘いバナナと芳醇な穀物の香りが交差する、新鮮な出会い。 舌先に届く濃密な甘みが全体を包み込み、やがて17%の豊かな風味の余韻を残して喉の奥へ滑らかに消えていく。 ワイングラスで香りから楽しむか、オンザロックで甘みを引き締めてカジュアルに。  韓国・江原道・鉄原（カンウォンド・チョロン）。 50万年の火山活動が育んだ肥沃な大地と火山岩盤水、そして最高品質の鉄原五台米（チョロン・オデミ）。 この天恵の自然環境の中で、すべての工程を手作業で行い、化学的添加物を一切使わない「最も清く純粋な韓国の酒」を追求し続けている酒造です。,【商品情報】 ・品目: その他の醸造酒 ・品名: ドゥルミ 本（ボン）生マッコリ ・原材料名: 米（韓国産）、米麹、酵母（一部に小麦を含む） ・内容量: 375ml ・アルコール分: 17% ・賞味期限: ラベル枠外に記載（製造日より180日） ・保存方法: 10℃以下で冷蔵保管してください。 ・原産国名: 韓国 【ご注意】 ※本製品は小麦を含みます。アレルギーをお持ちの方はご注意ください ※開栓後はお早めにお召し上がりください ※原料由来の成分が沈殿することがありますが、品質には問題ありません ※直射日光を避け、冷蔵保管してください。横置きでも問題ありませんが、できるだけ立てて保管してください ※よく冷やし、軽く振ってから開栓してください,True,https://mall.line.me/sb/d84e5e64/8438632
8438631,韓国プレミアム柚子生マッコリ 柚子家〈YUJAGA 09〉750ml（グルマ酒造）,DOORUMI,梅酒・果実酒,6600,6600,True,2026-07-05,2026-07-09,雪をかぶった柚子の木、その一番上の実だけを。,ソウル・麻浦（マポ）の小さな醸造場「グルマ酒造」が手掛ける、毎月わずか200本限定のプレミアム柚子生マッコリ。 鉄原五台米（チョロン・オデミ）を三度仕込み（三醸酒）で醸した本格的なもろみに、冬の初雪を浴びた南海（ナメ）産の希少な柚子と韓国産蜂蜜を加え、60〜90日発酵、さらに90日以上低温熟成して生まれる一本。 2年連続・大韓民国酒類大賞 大賞受賞、2026年にはBest of 2026も獲得した実力派です。  口に含んだ瞬間、柚子のシトラスが爽やかに弾け、蜂蜜由来のまろやかな甘みがそっと支える。 軽やかな質感と心地よい酸味が口中をすっきり整え、余韻はクリーンで短い。 食前酒として最適で、白身魚のカルパッチョや生春巻き、軽めのサラダとよく合います。 よく冷やしてワイングラスでどうぞ。  2019年、ソウル・麻浦（マポ）に誕生した都市型マイクロ醸造場。 韓国伝統酒の名門出身の醸造家3名が集い、化学添加物を使わず鉄原五台米（チョロン・オデミ）と厳選素材だけで少量手造りの酒を醸しています。 江原道・鉄原（チョロン）のドゥルミ酒造とは兄弟蔵の関係にあり、同じ哲学と原料を共有しながら、それぞれの個性を持つ酒を生み出しています。 「どんな料理とも寄り添える酒」を信念に、毎バッチわずか200本、ロット番号を刻む丁寧なものづくりが特徴です。,【商品情報】 ・品目: その他の醸造酒 ・品名: グルマ 柚子家09（ユジャガ09）生マッコリ ・原材料名: 米（韓国産）、ユズ（韓国産）、蜂蜜（韓国産）、小麦麹、酵母（一部に小麦を含む） ・内容量: 750ml ・アルコール分: 9% ・賞味期限: ラベル枠外に記載 (製造日より150日) ・保存方法: 10℃以下で冷蔵保管してください。 ・原産国名: 韓国 【ご注意】 ※本製品は小麦を含みます。アレルギーをお持ちの方はご注意ください ※開栓後はお早めにお召し上がりください ※原料由来の成分が沈殿することがありますが、品質には問題ありません,True,https://mall.line.me/sb/d84e5e64/8438631
8438629,上品な韓国生マッコリ 古い歌〈An Old Song〉750ml（ドゥルミ酒造 × Standing Egg）,DOORUMI,梅酒・果実酒,5940,5940,True,2026-07-05,2026-07-09,音楽が聴こえる、上品な一杯。,韓国で愛されるアコースティックデュオ「Standing Egg」の代表曲『古い歌（An Old Song）』から生まれたプレミアム生マッコリ。 ボトルには歌詞が刻まれ、QRコードで音楽が流れ出す。 https://youtu.be/bW3XExLBf7A?si=aAGtmtfL028fJY8y シンプルで洗練されたデザインと、余計なものを一切加えない潔い味わい。 大切な方への贈り物にふさわしい、おしゃれで上品な一本です。 2025年大韓民国酒類大賞・大賞受賞。  米、米麹、ウメの花、酵母。たったこれだけ。人工甘味料・香料・酸度調整剤は一切不使用。 鉄原五台米（うるち米）を３段仕込み（三醸酒）で仕込み、40日発酵、さらに40日熟成して生まれる、穏やかな果実の香りとウメの花のほのかな余韻。 アルコール10%とは思えない滑らかな喉越しが、静かな夜の一杯にぴったりです。 ワイングラスでお楽しみください。  韓国・江原道・鉄原（カンウォンド・チョロン）。 50万年の火山活動が育んだ肥沃な大地と火山岩盤水、そして最高品質の鉄原五台米（チョロン・オデミ）。 この天恵の自然環境の中で、すべての工程を手作業で行い、化学的添加物を一切使わない「最も清く純粋な韓国の酒」を追求し続けている酒造です。,【商品情報】 ・品目: その他の醸造酒 ・品名: ドゥルミ 古い歌（An Old Song）生マッコリ ・原材料名: 米（韓国産）、米麹、ウメの花（韓国産）、酵母（一部に小麦を含む） ・内容量: 750ml ・アルコール分: 10% ・賞味期限: ラベル枠外に記載(製造日より180日) ・保存方法: 10℃以下で冷蔵保管してください。 ・原産国名: 韓国 【ご注意】 ※本製品は小麦を含みます。アレルギーをお持ちの方はご注意ください ※開栓後はお早めにお召し上がりください ※原料由来の成分が沈殿することがありますが、品質には問題ありません,True,https://mall.line.me/sb/d84e5e64/8438629
8438555,極旨生マッコリ 善山ウェングギグ 韓国で話題のへたかわ飲み比べセット（6度&12度 各750ml）,善山,梅酒・果実酒,4800,4800,True,2026-07-04,2026-07-09,500年の伝統醸造蔵 × 韓国で話題のキャラクターブランド。遊び心のある本格派マッコリ、日本初上陸。,"「ウェングギグ」は""左手で描いたキリンの絵""という意味の韓国発ライフスタイルブランド。 ヘタかわいいのに目が離せない不思議な魅力で、韓国の大手百貨店を席巻中の注目IPです。 その自由で愉快な世界観が、500年の歴史を持つ慶尚北道・善山酒造の確かな醸造技術と出会い、カジュアルでありながら本格派の生マッコリが誕生しました。  人工甘味料ゼロ、韓国亀尾(クミ)産もち米100%という共通のこだわりから生まれた、性格の異なる2本をセットにしました。 6度は誰でもスルスルと楽しめるやさしい飲み口、12度は口いっぱいに広がる濃密な甘みと重厚なボディ感。 どちらも氷をたっぷり入れた「オンザロック」がおすすめです。 その日の気分や料理に合わせて飲み比べる楽しさは、セットならでは。 トッポッキやピザ、刺身の和え物など、味の強い料理と抜群の相性です。",【商品情報】 ・品目: その他の醸造酒 ・品名: 善山（ソンサン）ウェングギグ6 生マッコリ & ウェングギグ12 セット ・原材料名: 米（韓国産）、麹（小麦）／酵素（一部に小麦を含む） ・内容量: 750ml × 2本（6度・12度 各1本） ・アルコール分: 6%（1本）/ 12%（1本） ・賞味期限: ラベル枠外に記載 （ウェングギグ6：製造日から60日 / ウェングギグ12：製造日から120日） ・保存方法: 10℃以下で冷蔵保管してください。 ・原産国名: 韓国 【ご注意】 ※本製品は小麦を含みます。アレルギーをお持ちの方はご注意ください ※開栓後はお早めにお召し上がりください ※原料由来の成分が沈殿することがありますが、品質には問題ありません,True,https://mall.line.me/sb/d84e5e64/8438555
8438476,極旨生マッコリ 善山名家銘酒9 生マッコリ 750ml （ソンサンメイカメイシュ9度）,善山,梅酒・果実酒,2900,2900,True,2026-07-03,2026-07-09,500年受け継がれた家醸酒の秘伝。名門の味を、一杯に。,15世紀の朝鮮時代、慶尚北道・善山の名家が自ら醸し王に献上した家醸酒「名家銘酒」。 善山酒造は、洛東江流域の肥沃な大地で育った善山産うるち米100%と、代々受け継がれる一族固有の伝統麹を用い、500年の味をそのまま現代に蘇らせています。 人工甘味料は一切使用していません。  うるち米100%ならではのすっきりとした米の旨味に、穏やかな甘みと心地よい酸味がバランスよく重なる中間度数の一本。 アルコール9%のしっかりとしたボディでありながら、炭酸感はほぼなく、まるでワインのような上品でクリーンな飲み口が特徴です。 よく冷やしてそのままグラスで、またはオンザロックで。 チヂミや鍋料理はもちろん、和食の煮物や焼き魚とも自然に寄り添う万能な食中酒です。,【商品情報】 ・商品名: 善山（ソンサン）名家銘酒9 生マッコリ ・品目: その他の醸造酒 ・アルコール分: 9% ・原材料: 米（韓国産）、麹（小麦）／酵素（一部に小麦を含む） ・内容量: 750ml ・原産国: 韓国 ・賞味期限: ラベル枠外に記載 (製造日から120日) ・保存方法: 10℃以下で冷蔵保管してください。 【ご注意】 ※本製品は小麦を含みます。アレルギーをお持ちの方はご注意ください ※開栓後はお早めにお召し上がりください ※原料由来の成分が沈殿することがありますが、品質には問題ありません,True,https://mall.line.me/sb/d84e5e64/8438476
8438466,極旨生マッコリ 善山ウェングギグ6度 750ml（ソンサン × ウェングギグ左手で描いたキリンの絵）韓国で話題,善山,梅酒・果実酒,2500,2500,True,2026-07-03,2026-07-09,500年の伝統醸造蔵 × 韓国で話題のキャラクターブランド。遊び心のある本格派マッコリ、日本初上陸。,"「ウェングギグ」は""左手で描いたキリンの絵""という意味の韓国発ライフスタイルブランド。 ヘタかわいいのに目が離せない不思議な魅力で、韓国の大手百貨店を席巻中の注目IPです。 その自由で愉快な世界観が、500年の歴史を持つ慶尚北道・善山酒造の確かな醸造技術と出会い、カジュアルでありながら本格派の生マッコリが誕生しました。  韓国亀尾(クミ)産もち米だけをたっぷり使い、米本来の健康的な甘みを引き出した一本。 アルコール度数6%の軽やかなボディで、ブランドの哲学そのままに誰でも気軽にスルスルと楽しめるやさしい飲み口が魅力です。 氷をたっぷり入れたグラスに注ぐ「オンザロック」スタイルがおすすめ。 トッポッキやピザ、刺身の和え物など、日常の食事と気軽に合わせてお楽しみください。",【商品情報】 ・品目: その他の醸造酒 ・品名: 善山（ソンサン）ウェングギグ6 生マッコリ ・原材料名: 米（韓国産）、麹（小麦）／酵素（一部に小麦を含む） ・内容量: 750ml ・アルコール分: 6% ・賞味期限: ラベル枠外に記載（製造日より60日) ・保存方法: 10℃以下で冷蔵保管してください。 ・原産国名: 韓国 【ご注意】 ※本製品は小麦を含みます。アレルギーをお持ちの方はご注意ください ※開栓後はお早めにお召し上がりください ※原料由来の成分が沈殿することがありますが、品質には問題ありません,True,https://mall.line.me/sb/d84e5e64/8438466
8438450,極旨生マッコリ 善山ウェングギグ12度 750ml（ソンサン × ウェングギグ左手で描いたキリンの絵）韓国で話題,善山,梅酒・果実酒,3300,3300,True,2026-07-03,2026-07-09,500年の伝統醸造蔵 × 韓国で話題のキャラクターブランド。遊び心のある本格派マッコリ、日本初上陸。,"「ウェングギグ」は""左手で描いたキリンの絵""という意味の韓国発ライフスタイルブランド。 ヘタかわいいのに目が離せない不思議な魅力で、韓国の大手百貨店を席巻中の注目IPです。 その自由で愉快な世界観が、500年の歴史を持つ慶尚北道・善山酒造の確かな醸造技術と出会い、カジュアルでありながら本格派の生マッコリが誕生しました。  韓国亀尾(クミ)産もち米だけをたっぷり使い、米本来の深く健康的な甘みを引き出した一本。 アルコール度数12%のしっかりとしたボディ感と、口いっぱいに広がる濃厚な旨味が特徴です。 氷をたっぷり入れたグラスに注ぐ「オンザロック」スタイルがおすすめ。 トッポッキやピザ、刺身の和え物など、味の強い料理と抜群の相性です。",【商品情報】 ・品目: その他の醸造酒 ・品名: 善山（ソンサン）ウェングギグ12 生マッコリ ・原材料名: 米（韓国産）、麹（小麦）／酵素（一部に小麦を含む） ・内容量: 750ml ・アルコール分: 12% ・賞味期限: ラベル枠外に記載（製造日より120日) ・保存方法: 10℃以下で冷蔵保管してください。 ・原産国名: 韓国 【ご注意】 ※本製品は小麦を含みます。アレルギーをお持ちの方はご注意ください ※開栓後はお早めにお召し上がりください ※原料由来の成分が沈殿することがありますが、品質には問題ありません,True,https://mall.line.me/sb/d84e5e64/8438450
8433338,極旨生マッコリ プレミアム 善山スイート 750ml,善山,梅酒・果実酒,6800,6800,True,2026-06-24,2026-07-09,創業500年。韓国プレミアムマッコリの名門が、日本初上陸。,慶尚北道・善山で500年の歴史を紡いできた醸造蔵が手掛ける、もち米100%の本格生マッコリ。 米由来の自然な甘みだけでBrix23度(糖度23%、一般的なジュースを超える濃密さ)の濃密な味わいを実現した、デザート感覚で楽しめる一本が、ついに日本で初めてご紹介できることになりました。  人工甘味料や砂糖を一切加えず、善山産もち米の発酵だけで引き出した自然な甘み。 アルコール度数8%のしっかりとしたボディに、とろりと濃密な米の旨味が重なります。 ワイングラスでスワリングしながら、香りとともにゆっくりとお楽しみください。 ピリ辛の煮込み料理や焼き物との相性が抜群です。,【商品情報】 ・商品名: 善山（ソンサン）スイート 生マッコリ ・品目: その他の醸造酒 ・アルコール分: 8% ・原材料: 米（韓国産）、麹（小麦）／酵素（一部に小麦を含む） ・内容量: 750ml ・原産国: 韓国 ・賞味期限: ラベル枠外に記載 (製造日から120日) ・保存方法: 10℃以下で冷蔵保管してください。 【ご注意】 ※本製品は小麦を含みます。アレルギーをお持ちの方はご注意ください ※開栓後はお早めにお召し上がりください ※原料由来の成分が沈殿することがありますが、品質には問題ありません,True,https://mall.line.me/sb/d84e5e64/8433338
8433321,極旨生マッコリ プレミアム 善山ベーシック 700ml,善山,梅酒・果実酒,3900,3900,True,2026-06-24,2026-07-09,創業500年。韓国プレミアムマッコリの名門が、日本初上陸。,慶尚北道・善山で500年の歴史を紡いできた醸造蔵が手掛ける、もち米100%の本格生マッコリ。 韓国国内で「新しいマッコリの基準」と評される一本が、ついに日本で初めてご紹介できることになりました。  善山産もち米だけで醸した、アルコール度数6%の軽やかなボディ。 グラスに注ぐと、梨やチャメ（韓国メロン）を思わせるフルーティーな香りが広がり、心地よい酸味がすっきりと余韻を締めくくります。 シャンパングラスでそのまま、または氷を浮かべてオンザロックで。ヒラメのセビーチェやピリ辛の和え物、軽めのナッツ類と好相性です。,【商品情報】 ・商品名: 善山（ソンサン）ベーシック 生マッコリ ・品目: その他の醸造酒 ・アルコール分: 6% ・原材料: 米（韓国産）、麹（小麦）／酵素（一部に小麦を含む） ・内容量: 700ml ・原産国: 韓国 ・賞味期限: ラベル枠外に記載（製造日から90日) ・保存方法: 10℃以下で冷蔵保管してください。 【ご注意】 ※本製品は小麦を含みます。アレルギーをお持ちの方はご注意ください ※開栓後はお早めにお召し上がりください ※原料由来の成分が沈殿することがありますが、品質には問題ありません,True,https://mall.line.me/sb/d84e5e64/8433321
